latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight
39.29779,48.70584,325.8,0.4,0.37,2020-01-01,0930,N20,VIIRS,n,2.0NRT,286.3,2.3,D
40.2254,46.62546,326.7,0.45,0.39,2020-01-01,0930,N20,VIIRS,n,2.0NRT,282.8,2.9,D
40.22896,46.62474,327.2,0.45,0.39,2020-01-01,0930,N20,VIIRS,n,2.0NRT,280.8,2.9,D
40.3733,47.96437,330.3,0.41,0.37,2020-01-01,0930,N20,VIIRS,n,2.0NRT,286.9,9.5,D
40.25142,49.4435,296.8,0.34,0.56,2020-01-01,2148,N20,VIIRS,n,2.0NRT,271.3,0.7,N
40.28043,49.67736,298.8,0.33,0.55,2020-01-01,2148,N20,VIIRS,n,2.0NRT,274,0.4,N
40.44803,48.29411,343.2,0.4,0.44,2020-01-02,0912,N20,VIIRS,n,2.0NRT,285.7,5.1,D
40.2515,49.44724,302.4,0.49,0.41,2020-01-05,2212,N20,VIIRS,n,2.0NRT,277.2,1.5,N
39.9595,46.82216,340.2,0.4,0.37,2020-01-06,0936,N20,VIIRS,n,2.0NRT,286,5.8,D
40.10651,47.26789,326.4,0.39,0.37,2020-01-06,0936,N20,VIIRS,n,2.0NRT,286.1,2.2,D
39.79007,46.94814,325.4,0.4,0.44,2020-01-07,0918,N20,VIIRS,n,2.0NRT,281.7,2.2,D
39.79404,46.94689,333.2,0.4,0.44,2020-01-07,0918,N20,VIIRS,n,2.0NRT,281.1,3.9,D
40.25461,49.44358,306.7,0.5,0.66,2020-01-07,2136,N20,VIIRS,n,2.0NRT,276.5,1.4,N
40.28387,49.67625,299.3,0.49,0.65,2020-01-07,2136,N20,VIIRS,n,2.0NRT,274.8,1.2,N
40.25463,49.44328,306.2,0.5,0.66,2020-01-07,2136,N20,VIIRS,n,2.0NRT,276.9,1.2,N
40.22486,49.55647,296.5,0.33,0.55,2020-01-07,2318,N20,VIIRS,n,2.0NRT,276.7,0.4,N
40.25341,49.44652,306.3,0.32,0.55,2020-01-07,2318,N20,VIIRS,n,2.0NRT,276.2,0.8,N
40.59853,49.58376,301.9,0.32,0.55,2020-01-07,2318,N20,VIIRS,n,2.0NRT,273.9,0.8,N
40.2227,46.62341,295.1,0.46,0.47,2020-01-07,2318,N20,VIIRS,n,2.0NRT,272.8,1.6,N
40.28357,49.68115,307.2,0.33,0.55,2020-01-07,2318,N20,VIIRS,n,2.0NRT,274.9,0.5,N
41.16723,45.25531,296.1,0.4,0.37,2020-01-08,2300,N20,VIIRS,n,2.0NRT,270.8,0.5,N
41.16729,45.25301,296.2,0.42,0.38,2020-01-09,2242,N20,VIIRS,n,2.0NRT,270.3,0.9,N
40.38346,47.49839,342.4,0.63,0.72,2020-01-13,1048,N20,VIIRS,n,2.0NRT,280.7,8.1,D
40.38335,47.49079,341.7,0.63,0.72,2020-01-13,1048,N20,VIIRS,n,2.0NRT,282.8,8.1,D
40.25306,49.44192,298.5,0.74,0.76,2020-01-13,2124,N20,VIIRS,n,2.0NRT,273.3,1.4,N
40.25354,49.4456,300.1,0.45,0.47,2020-01-13,2306,N20,VIIRS,n,2.0NRT,274,0.8,N
40.59418,49.58509,329.3,0.35,0.57,2020-01-14,0848,N20,VIIRS,n,2.0NRT,285.7,1.4,D
40.08387,47.81106,331.2,0.44,0.62,2020-01-14,0848,N20,VIIRS,n,2.0NRT,284.3,2.5,D
