latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
40.208,48.0953,300.4,1,1,2024-01-06,1014,Aqua,MODIS,36,61.03,288,4.4,D,0
40.369,47.8792,302.5,1,1,2024-01-06,1014,Aqua,MODIS,52,61.03,287.9,5.8,D,0
39.8556,48.2146,305.8,1,1,2024-01-06,1014,Aqua,MODIS,62,61.03,288.3,7.1,D,0
40.3455,47.8485,316.8,1,1,2024-01-06,1014,Aqua,MODIS,77,61.03,289.2,16,D,0
40.2844,47.8157,305.1,1,1,2024-01-06,1014,Aqua,MODIS,61,61.03,288,7.2,D,0
40.3437,47.8366,338.3,1,1,2024-01-06,1014,Aqua,MODIS,91,61.03,289.9,43.2,D,0
40.4089,47.4936,321.5,1.1,1,2024-01-06,1014,Aqua,MODIS,81,61.03,288.6,19.9,D,0
40.6024,47.5406,300.4,1,1,2024-01-06,1014,Aqua,MODIS,36,61.03,287.4,4.8,D,0
40.7135,47.1343,304.6,1.1,1,2024-01-06,1014,Aqua,MODIS,59,61.03,288.6,7.2,D,0
40.4179,47.4911,314.4,1.1,1,2024-01-06,1014,Aqua,MODIS,75,61.03,288.9,13,D,0
40.0505,48.5744,314.8,1,1,2024-01-06,1014,Aqua,MODIS,75,61.03,289.3,13.9,D,0
39.9618,48.4839,302.3,1,1,2024-01-06,1014,Aqua,MODIS,52,61.03,288.5,5.2,D,0
39.9601,48.5326,308.6,1,1,2024-01-06,1014,Aqua,MODIS,67,61.03,288.6,9.1,D,0
39.8626,48.2005,303.4,1,1,2024-01-06,1014,Aqua,MODIS,41,61.03,288.5,5.4,D,0
39.8645,48.2122,300.8,1,1,2024-01-06,1014,Aqua,MODIS,6,61.03,288.3,4,D,2
39.8538,48.2029,304.6,1,1,2024-01-06,1014,Aqua,MODIS,56,61.03,288.8,6.3,D,0
40.7386,46.8837,300,1.1,1.1,2024-01-06,1810,Terra,MODIS,10,61.03,274.9,10.3,N,0
38.7993,48.5409,303.1,1.5,1.2,2024-01-09,0729,Terra,MODIS,55,61.03,290.5,10.6,D,0
40.4984,47.4469,308.8,1.2,1.1,2024-01-09,0729,Terra,MODIS,68,61.03,284.9,14.1,D,0
39.3104,47.1864,321.1,1.3,1.1,2024-01-09,1039,Aqua,MODIS,81,61.03,289.8,23.9,D,0
40.6067,47.44,308.8,1.4,1.2,2024-01-09,1040,Aqua,MODIS,68,61.03,286.4,14,D,0
40.7192,47.0717,314.5,1.3,1.1,2024-01-09,1040,Aqua,MODIS,57,61.03,286.2,20.1,D,0
40.4376,47.18,305.2,1.3,1.1,2024-01-09,1040,Aqua,MODIS,61,61.03,289.7,8.8,D,0
39.7489,47.5843,302,1.4,1.2,2024-01-09,1040,Aqua,MODIS,50,61.03,288.6,6.5,D,0
39.7498,47.5753,303.5,1.4,1.2,2024-01-09,1040,Aqua,MODIS,56,61.03,288.8,8,D,0
40.5817,47.113,310.1,1.1,1,2024-02-04,1034,Aqua,MODIS,69,61.03,287.5,11.7,D,0
40.461,47.1052,304.1,1.1,1,2024-02-04,1034,Aqua,MODIS,58,61.03,288.1,7.2,D,0
40.2161,47.3605,304.2,1.1,1.1,2024-02-04,1034,Aqua,MODIS,58,61.03,286.3,8.1,D,0
40.2431,48.1961,301.4,1.2,1.1,2024-02-04,1034,Aqua,MODIS,46,61.03,284.8,7,D,0
39.4705,48.9208,301.4,1.4,1.2,2024-02-06,0647,Terra,MODIS,47,61.03,280.4,9.5,D,0
39.2939,48.8627,301.3,1.4,1.2,2024-02-06,0647,Terra,MODIS,46,61.03,281.5,8.9,D,0
39.4926,48.6009,302.7,1.4,1.2,2024-02-06,0647,Terra,MODIS,53,61.03,281.4,10.7,D,0
39.7234,48.0419,303.5,1,1,2024-02-06,1018,Aqua,MODIS,56,61.03,288.9,4.9,D,0
39.6933,47.9659,302.7,1,1,2024-02-06,1018,Aqua,MODIS,53,61.03,289.6,4.9,D,0
39.6951,47.9774,317.3,1,1,2024-02-06,1018,Aqua,MODIS,77,61.03,288.8,15.5,D,0
39.6576,47.8616,305,1,1,2024-02-06,1018,Aqua,MODIS,60,61.03,287.2,7.2,D,0
39.5861,47.639,304.7,1,1,2024-02-06,1018,Aqua,MODIS,56,61.03,276.1,8.6,D,0
39.3206,47.1955,303.8,1.1,1,2024-02-06,1018,Aqua,MODIS,45,61.03,288.6,6.1,D,0
39.3225,47.2074,356.8,1.1,1,2024-02-06,1018,Aqua,MODIS,98,61.03,293,84.4,D,0
39.3244,47.2193,308.9,1.1,1,2024-02-06,1018,Aqua,MODIS,68,61.03,289.9,9,D,0
39.4458,48.228,314,1,1,2024-02-06,1018,Aqua,MODIS,74,61.03,291.5,11.1,D,0
39.3008,48.7431,302.3,1,1,2024-02-06,1018,Aqua,MODIS,52,61.03,282.7,4.8,D,0
38.706,48.8445,304.2,1,1,2024-02-06,1018,Aqua,MODIS,51,61.03,292.1,4.5,D,0
40.262,47.1002,302.5,1,1,2024-02-06,1018,Aqua,MODIS,52,61.03,284.7,5.7,D,0
39.8429,47.9812,301.1,1,1,2024-02-06,1018,Aqua,MODIS,45,61.03,289.5,4,D,0
39.7142,47.7437,301.8,1,1,2024-02-06,1018,Aqua,MODIS,49,61.03,288.6,4.7,D,0
39.7336,48.8983,312.8,1.3,1.1,2024-02-08,1002,Aqua,MODIS,72,61.03,294.6,13.9,D,0
39.7856,49.0159,303.8,1.2,1.1,2024-02-08,1002,Aqua,MODIS,53,61.03,292.7,5.4,D,0
39.6884,48.992,307.8,1.2,1.1,2024-02-08,1002,Aqua,MODIS,64,61.03,293.6,8.7,D,0
39.6666,48.9839,305,1.2,1.1,2024-02-08,1002,Aqua,MODIS,45,61.03,293.2,6.1,D,0
39.4911,48.9902,311.1,1.3,1.1,2024-02-08,1002,Aqua,MODIS,66,61.03,293.1,12.3,D,0
40.6103,47.4739,301.7,1.4,1.2,2024-02-08,1003,Aqua,MODIS,49,61.03,286.5,6.3,D,0
40.6134,47.49,301.3,1.4,1.2,2024-02-08,1003,Aqua,MODIS,46,61.03,286.1,5.9,D,0
40.5584,47.4621,301.5,1.4,1.2,2024-02-08,1003,Aqua,MODIS,47,61.03,287.7,6.1,D,0
40.4743,48.0668,315,1.3,1.1,2024-02-08,1003,Aqua,MODIS,75,61.03,292.3,18.3,D,0
40.453,48.0092,303.2,1.3,1.1,2024-02-08,1003,Aqua,MODIS,55,61.03,291.2,6.6,D,0
40.4644,48.07,353.8,1.3,1.1,2024-02-08,1003,Aqua,MODIS,97,61.03,294.4,104.7,D,0
40.4672,48.0852,326.4,1.3,1.1,2024-02-08,1003,Aqua,MODIS,84,61.03,291.8,34.2,D,0
40.2711,47.3444,303.6,1.5,1.2,2024-02-08,1003,Aqua,MODIS,57,61.03,291.8,5.4,D,0
40.4007,48.1773,308.1,1.3,1.1,2024-02-08,1003,Aqua,MODIS,67,61.03,292.7,10.4,D,0
40.2458,47.6754,303.3,1.4,1.2,2024-02-08,1003,Aqua,MODIS,56,61.03,292,5.9,D,0
40.1826,47.7972,303.7,1.4,1.2,2024-02-08,1003,Aqua,MODIS,44,61.03,291.3,5.7,D,0
40.1383,48.4979,305.2,1.3,1.1,2024-02-08,1003,Aqua,MODIS,57,61.03,293.1,7,D,0
40.105,48.4309,309.5,1.3,1.1,2024-02-08,1003,Aqua,MODIS,67,61.03,293.9,10.6,D,0
40.1032,48.4226,304.8,1.3,1.1,2024-02-08,1003,Aqua,MODIS,56,61.03,293.4,6.1,D,0
40.1059,48.4373,304.3,1.3,1.1,2024-02-08,1003,Aqua,MODIS,52,61.03,294.1,5.6,D,0
40.0791,48.4614,306,1.3,1.1,2024-02-08,1003,Aqua,MODIS,59,61.03,293.7,7.6,D,0
40.0898,48.52,308.6,1.3,1.1,2024-02-08,1003,Aqua,MODIS,62,61.03,293.7,10.3,D,0
40.0925,48.5345,303.8,1.3,1.1,2024-02-08,1003,Aqua,MODIS,45,61.03,293.2,6,D,2
40.1974,49.4551,311.4,1.2,1.1,2024-02-08,1003,Aqua,MODIS,53,61.03,294.7,9,D,0
40.1947,49.4611,308.7,1.2,1.1,2024-02-08,1003,Aqua,MODIS,62,61.03,294.3,6.4,D,0
40.0304,48.5902,307.3,1.3,1.1,2024-02-08,1003,Aqua,MODIS,63,61.03,293.1,8.1,D,0
39.9554,48.2383,304.3,1.3,1.1,2024-02-08,1003,Aqua,MODIS,55,61.03,293.9,6.2,D,0
39.9984,48.585,316.2,1.3,1.1,2024-02-08,1003,Aqua,MODIS,75,61.03,293.9,17.2,D,0
40.001,48.5995,310.2,1.3,1.1,2024-02-08,1003,Aqua,MODIS,64,61.03,293.2,10.4,D,0
39.9859,48.5735,330.9,1.3,1.1,2024-02-08,1003,Aqua,MODIS,87,61.03,294.6,39.1,D,0
39.9886,48.5881,308.4,1.3,1.1,2024-02-08,1003,Aqua,MODIS,14,61.03,293.1,7.9,D,0
40.0066,48.8547,305.3,1.2,1.1,2024-02-08,1003,Aqua,MODIS,58,61.03,293.4,7.5,D,0
39.9169,48.5402,308,1.3,1.1,2024-02-08,1003,Aqua,MODIS,64,61.03,292.9,9.9,D,0
39.8223,48.2555,305.7,1.3,1.1,2024-02-08,1003,Aqua,MODIS,59,61.03,294.7,6.6,D,0
39.8482,48.5618,304.3,1.3,1.1,2024-02-08,1003,Aqua,MODIS,54,61.03,294,5.6,D,0
