latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
40.2495,49.44453,299.02,0.73,0.76,2021-01-07,2126,N,VIIRS,n,2,272.48,0.91,N,2
39.21338,48.568,315.76,0.42,0.45,2021-01-07,2307,N,VIIRS,n,2,268.98,0.87,N,0
39.21361,48.56518,317.02,0.42,0.45,2021-01-07,2307,N,VIIRS,n,2,269.18,1.31,N,0
39.31055,47.19223,355.81,0.33,0.55,2021-01-08,1029,N,VIIRS,n,2,285.65,4.64,D,0
39.46906,47.3689,346.42,0.34,0.56,2021-01-08,1030,N,VIIRS,n,2,284.72,3.24,D,0
40.58064,49.08321,338.74,0.48,0.48,2021-01-09,1011,N,VIIRS,n,2,287.78,7.11,D,0
38.91829,48.50893,330,0.41,0.37,2021-01-10,0952,N,VIIRS,n,2,293.66,2.73,D,0
39.17365,48.75716,336.99,0.42,0.38,2021-01-10,0952,N,VIIRS,n,2,293.56,6.56,D,0
39.08171,46.79488,333.08,0.39,0.36,2021-01-10,0952,N,VIIRS,n,2,288.16,3.1,D,0
39.08501,46.79409,367,0.39,0.36,2021-01-10,0952,N,VIIRS,h,2,335.37,72.02,D,0
39.08566,46.79853,348.08,0.39,0.36,2021-01-10,0952,N,VIIRS,n,2,303.05,72.02,D,0
39.08897,46.79774,338.99,0.39,0.36,2021-01-10,0952,N,VIIRS,n,2,285.26,72.02,D,0
39.49487,47.36798,329.13,0.39,0.37,2021-01-10,0952,N,VIIRS,n,2,291.24,2.44,D,0
39.54367,47.5701,329.59,0.4,0.37,2021-01-10,0952,N,VIIRS,n,2,291.81,4.18,D,0
39.54766,47.57394,337.94,0.4,0.37,2021-01-10,0952,N,VIIRS,n,2,290.14,4.57,D,0
39.73645,48.57494,330.04,0.42,0.38,2021-01-10,0952,N,VIIRS,n,2,290.49,3.48,D,0
39.7337,48.14791,329.51,0.41,0.37,2021-01-10,0952,N,VIIRS,n,2,291.6,3.66,D,0
39.67987,47.72252,342.35,0.4,0.37,2021-01-10,0952,N,VIIRS,n,2,292.14,3.54,D,0
39.67992,47.62167,345.99,0.4,0.37,2021-01-10,0952,N,VIIRS,n,2,295.58,13.99,D,0
39.79261,48.2848,332.99,0.41,0.37,2021-01-10,0952,N,VIIRS,n,2,289.89,3.08,D,0
39.89607,48.0084,328.97,0.41,0.37,2021-01-10,0952,N,VIIRS,n,2,290.64,3.17,D,0
39.82806,46.68883,345.61,0.39,0.36,2021-01-10,0952,N,VIIRS,n,2,297.09,7.29,D,0
39.95238,46.67905,348.42,0.39,0.36,2021-01-10,0952,N,VIIRS,n,2,291,4.25,D,0
40.00652,46.75614,327.15,0.39,0.36,2021-01-10,0952,N,VIIRS,n,2,293.53,2.41,D,0
40.01888,46.41604,327.41,0.39,0.36,2021-01-10,0952,N,VIIRS,n,2,291.43,2.16,D,0
40.18392,46.73429,329.73,0.39,0.36,2021-01-10,0952,N,VIIRS,n,2,292.72,5.96,D,0
40.22181,46.67471,342.65,0.39,0.36,2021-01-10,0952,N,VIIRS,n,2,293.15,5.93,D,0
40.70528,48.45527,332.07,0.42,0.38,2021-01-10,0952,N,VIIRS,n,2,294.41,9.54,D,0
40.93586,46.36409,329.13,0.39,0.36,2021-01-10,0952,N,VIIRS,n,2,289.06,5.55,D,0
40.25205,49.44614,302.32,0.39,0.44,2021-01-10,2210,N,VIIRS,n,2,276.8,1.08,N,0
39.05819,48.41917,295.09,0.42,0.45,2021-01-10,2211,N,VIIRS,n,2,278.66,1.14,N,0
39.05789,48.41748,297.45,0.42,0.45,2021-01-10,2211,N,VIIRS,n,2,278.56,0.62,N,0
38.41746,48.7055,317.37,0.4,0.44,2021-01-10,2211,N,VIIRS,n,2,282.67,7.02,N,0
38.41703,48.70984,312.03,0.4,0.44,2021-01-10,2211,N,VIIRS,n,2,280.71,7.02,N,0
38.4166,48.71422,295.39,0.4,0.44,2021-01-10,2211,N,VIIRS,n,2,278.88,1.87,N,0
38.41617,48.71864,302.29,0.4,0.44,2021-01-10,2211,N,VIIRS,n,2,278.99,1.87,N,0
38.41573,48.72303,295.39,0.4,0.44,2021-01-10,2211,N,VIIRS,n,2,278.93,4.08,N,0
38.41335,48.70493,351.88,0.4,0.44,2021-01-10,2211,N,VIIRS,n,2,293.18,7.02,N,0
38.41294,48.70916,344.71,0.4,0.44,2021-01-10,2211,N,VIIRS,n,2,284.19,7.02,N,0
38.41251,48.71347,321.87,0.4,0.44,2021-01-10,2211,N,VIIRS,n,2,280.58,1.87,N,0
