latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
40.19473,49.462,338.08,0.36,0.57,2020-01-01,1023,N,VIIRS,n,2,279.69,4.21,D,2
40.19724,49.46228,344.28,0.36,0.58,2020-01-01,1023,N,VIIRS,n,2,279.47,3.65,D,2
41.16796,45.25504,296.02,0.43,0.38,2020-01-01,2242,N,VIIRS,n,2,273.84,0.72,N,0
41.16721,45.25329,296.27,0.43,0.38,2020-01-01,2242,N,VIIRS,n,2,273.25,0.93,N,0
40.25058,49.44571,297.46,0.39,0.36,2020-01-01,2242,N,VIIRS,n,2,272.2,1,N,0
39.31179,47.14614,339.52,0.47,0.4,2020-01-02,1004,N,VIIRS,n,2,286.37,4.19,D,0
39.31799,47.16759,331.64,0.48,0.4,2020-01-02,1004,N,VIIRS,n,2,285.02,4.55,D,0
39.31735,47.16205,341.26,0.48,0.4,2020-01-02,1004,N,VIIRS,n,2,286.78,4.55,D,0
39.30093,46.64454,334.01,0.45,0.39,2020-01-02,1004,N,VIIRS,n,2,291.52,22.49,D,0
40.22722,48.01913,336.35,0.53,0.42,2020-01-02,1004,N,VIIRS,n,2,281.86,9.59,D,0
40.22432,48.01817,332.9,0.53,0.42,2020-01-02,1005,N,VIIRS,n,2,285.63,16.73,D,0
40.22517,46.63013,326.8,0.46,0.39,2020-01-02,1005,N,VIIRS,n,2,268.67,3.02,D,0
40.50785,48.27681,338.89,0.55,0.42,2020-01-02,1005,N,VIIRS,n,2,284.91,6.63,D,0
40.24947,49.44733,295.15,0.44,0.46,2020-01-05,2307,N,VIIRS,n,2,275.38,0.84,N,0
40.59718,49.58379,301.48,0.4,0.37,2020-01-07,2229,N,VIIRS,n,2,274.38,0.72,N,0
40.40613,49.9119,295.03,0.39,0.36,2020-01-07,2229,N,VIIRS,n,2,280.63,0.93,N,2
40.25278,49.44832,300.52,0.4,0.37,2020-01-07,2229,N,VIIRS,n,2,276.44,1.01,N,0
40.22352,49.55634,297,0.4,0.37,2020-01-07,2229,N,VIIRS,n,2,277.34,0.69,N,0
40.22477,46.6269,304.99,0.48,0.4,2020-01-07,2229,N,VIIRS,n,2,274.51,1.67,N,0
39.09714,46.81517,339.37,0.39,0.36,2020-01-08,0952,N,VIIRS,n,2,288.44,13.7,D,0
39.9725,46.73118,325.75,0.39,0.36,2020-01-08,0952,N,VIIRS,n,2,271.09,2.65,D,0
39.9758,46.73035,335.68,0.39,0.36,2020-01-08,0952,N,VIIRS,n,2,270.25,2.65,D,0
40.59485,49.5847,325.41,0.46,0.39,2020-01-08,0952,N,VIIRS,n,2,273.21,1.99,D,0
41.10297,45.0829,339.77,0.38,0.36,2020-01-08,0952,N,VIIRS,n,2,285.94,11.85,D,0
40.25051,49.44648,295.09,0.48,0.4,2020-01-11,2254,N,VIIRS,n,2,274.16,0.87,N,0
