latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight
39.56895,47.62735,325.01,0.49,0.4,2022-01-01,0926,N20,VIIRS,n,2.0NRT,273.28,2.57,D
39.42047,48.41218,331.91,0.5,0.49,2022-01-02,0909,N20,VIIRS,n,2.0NRT,288.95,3.57,D
40.25214,47.55106,338.97,0.46,0.63,2022-01-03,0849,N20,VIIRS,n,2.0NRT,283.61,4.86,D
40.6241,47.19868,326.62,0.46,0.64,2022-01-03,0849,N20,VIIRS,n,2.0NRT,282.58,3.03,D
40.39107,47.77148,343.27,0.44,0.62,2022-01-03,0849,N20,VIIRS,n,2.0NRT,282.99,3.94,D
40.2527,47.54949,331.67,0.46,0.63,2022-01-03,0849,N20,VIIRS,n,2.0NRT,283.97,3.27,D
40.33587,47.59472,346.91,0.35,0.57,2022-01-03,1030,N20,VIIRS,n,2.0NRT,283.2,4.02,D
40.27018,47.74348,341.8,0.35,0.57,2022-01-03,1030,N20,VIIRS,n,2.0NRT,284,3.96,D
40.34603,47.86569,348.49,0.36,0.57,2022-01-03,1030,N20,VIIRS,n,2.0NRT,288.77,15.02,D
40.34626,47.86999,356.36,0.36,0.57,2022-01-03,1030,N20,VIIRS,l,2.0NRT,283.06,13.64,D
40.33595,47.59452,338.22,0.35,0.57,2022-01-03,1030,N20,VIIRS,n,2.0NRT,282.93,3.2,D
40.25004,49.44661,295.18,0.42,0.38,2022-01-03,2248,N20,VIIRS,n,2.0NRT,274.81,1.04,N
40.73991,47.32614,330.77,0.39,0.44,2022-01-04,1010,N20,VIIRS,n,2.0NRT,274.6,2.68,D
40.54828,47.00653,328.47,0.56,0.43,2022-01-04,1010,N20,VIIRS,n,2.0NRT,280.05,8.95,D
40.43557,47.49828,339.87,0.39,0.44,2022-01-04,1010,N20,VIIRS,n,2.0NRT,270.57,3.02,D
40.55223,47.00587,343.22,0.56,0.43,2022-01-04,1010,N20,VIIRS,n,2.0NRT,281.11,8.95,D
39.70274,48.01471,326.62,0.4,0.37,2022-01-05,0951,N20,VIIRS,n,2.0NRT,296.12,24.81,D
