latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight
40.44017,47.13831,330.86,0.56,0.43,2024-05-01,0922,N,VIIRS,n,2.0NRT,297.64,0.96,D
40.19722,49.46629,319.7,0.48,0.65,2024-05-01,2140,N,VIIRS,n,2.0NRT,274.39,1.89,N
40.19743,49.46046,319.78,0.48,0.65,2024-05-01,2140,N,VIIRS,n,2.0NRT,273.57,3.6,N
40.61379,49.62362,298.35,0.48,0.65,2024-05-01,2140,N,VIIRS,n,2.0NRT,284.26,4.05,N
40.61399,49.61779,367,0.48,0.65,2024-05-01,2140,N,VIIRS,h,2.0NRT,285.77,10.99,N
40.61519,49.618,367,0.48,0.65,2024-05-01,2140,N,VIIRS,h,2.0NRT,285.53,6.5,N
40.19702,49.47211,300.03,0.48,0.65,2024-05-01,2140,N,VIIRS,n,2.0NRT,274.8,1.89,N
40.19738,49.46738,317.45,0.33,0.55,2024-05-01,2320,N,VIIRS,n,2.0NRT,257.36,0.66,N
40.40475,49.9179,302.27,0.34,0.56,2024-05-01,2320,N,VIIRS,n,2.0NRT,282.66,0.77,N
40.19641,49.47113,299.2,0.33,0.55,2024-05-01,2320,N,VIIRS,n,2.0NRT,257.01,0.66,N
40.69653,46.73418,296.21,0.46,0.47,2024-05-01,2322,N,VIIRS,n,2.0NRT,284.82,0.24,N
41.25499,49.11471,332.75,0.48,0.48,2024-05-02,0905,N,VIIRS,n,2.0NRT,302.36,3.61,D
40.39347,49.65922,332.61,0.47,0.48,2024-05-02,0905,N,VIIRS,n,2.0NRT,300.13,3.39,D
40.19975,49.46681,345.98,0.49,0.48,2024-05-02,0905,N,VIIRS,n,2.0NRT,305.16,6.49,D
40.20041,49.46266,337.7,0.49,0.48,2024-05-02,0905,N,VIIRS,n,2.0NRT,303.06,5.06,D
40.19608,49.46435,335.35,0.49,0.48,2024-05-02,0905,N,VIIRS,n,2.0NRT,301.6,2.72,D
40.19736,49.46991,339.21,0.49,0.48,2024-05-02,0905,N,VIIRS,n,2.0NRT,304.05,2.72,D
41.25523,49.11867,333.19,0.64,0.72,2024-05-02,1043,N,VIIRS,n,2.0NRT,294.62,4.86,D
40.20124,49.47211,345.88,0.66,0.73,2024-05-02,1043,N,VIIRS,n,2.0NRT,292.64,9.3,D
41.25598,49.11692,331.39,0.64,0.72,2024-05-02,1043,N,VIIRS,n,2.0NRT,294.01,5.57,D
39.92168,48.94638,295.61,0.55,0.43,2024-05-02,2301,N,VIIRS,n,2.0NRT,281.38,0.65,N
40.19965,49.46927,340,0.38,0.43,2024-05-02,2301,N,VIIRS,n,2.0NRT,288.16,2.87,N
40.1987,49.47369,329.44,0.38,0.43,2024-05-02,2301,N,VIIRS,n,2.0NRT,288.16,2.87,N
40.19575,49.46784,328.78,0.38,0.43,2024-05-02,2301,N,VIIRS,n,2.0NRT,285.89,2.16,N
39.92109,48.94747,297.57,0.55,0.43,2024-05-02,2301,N,VIIRS,n,2.0NRT,281.06,0.48,N
39.6235,47.76859,367,0.53,0.67,2024-05-03,0843,N,VIIRS,h,2.0NRT,291.44,13.68,D
41.2595,49.11434,344.19,0.42,0.45,2024-05-04,1006,N,VIIRS,n,2.0NRT,307.16,10.72,D
41.26258,49.11155,337.48,0.41,0.45,2024-05-04,1006,N,VIIRS,n,2.0NRT,300.63,4.67,D
41.25841,49.11219,342.79,0.41,0.45,2024-05-04,1006,N,VIIRS,n,2.0NRT,307.8,6.56,D
40.19672,49.46484,340.14,0.42,0.45,2024-05-04,1006,N,VIIRS,n,2.0NRT,297.07,3.08,D
40.19718,49.46984,337.9,0.42,0.45,2024-05-04,1006,N,VIIRS,n,2.0NRT,298.07,6.03,D
40.36559,50.00869,297.85,0.41,0.37,2024-05-04,2225,N,VIIRS,n,2.0NRT,285.33,0.25,N
40.40945,49.91823,298.38,0.42,0.37,2024-05-04,2225,N,VIIRS,n,2.0NRT,286.13,1.11,N
40.53457,49.97373,328.94,0.42,0.37,2024-05-04,2225,N,VIIRS,n,2.0NRT,286.5,2.81,N
40.25236,49.44469,305,0.43,0.38,2024-05-04,2225,N,VIIRS,n,2.0NRT,285.34,1.22,N
40.22355,49.55642,304.4,0.42,0.38,2024-05-04,2225,N,VIIRS,n,2.0NRT,285.98,0.73,N
40.19983,49.46374,329.13,0.43,0.38,2024-05-04,2225,N,VIIRS,n,2.0NRT,286.78,3.44,N
40.19918,49.46875,317.89,0.43,0.38,2024-05-04,2225,N,VIIRS,n,2.0NRT,285.87,3.44,N
40.19855,49.47374,297.22,0.43,0.38,2024-05-04,2225,N,VIIRS,n,2.0NRT,285.18,0.75,N
40.19787,49.46553,341.39,0.41,0.37,2024-05-05,0945,N,VIIRS,n,2.0NRT,292.21,5.45,D
40.19924,49.46411,333.21,0.45,0.47,2024-05-05,2205,N,VIIRS,n,2.0NRT,265.33,6.47,N
40.2001,49.46672,328.47,0.45,0.47,2024-05-05,2205,N,VIIRS,n,2.0NRT,266.91,6.53,N
40.1984,49.47623,295.66,0.66,0.73,2024-05-05,2346,N,VIIRS,n,2.0NRT,275.04,2.57,N
40.20041,49.4621,301.2,0.66,0.73,2024-05-05,2346,N,VIIRS,n,2.0NRT,275.58,4.28,N
40.20089,49.4687,333.62,0.66,0.73,2024-05-05,2346,N,VIIRS,n,2.0NRT,277.11,2.57,N
40.19796,49.46965,341.88,0.66,0.73,2024-05-05,2346,N,VIIRS,n,2.0NRT,274.45,4.28,N
40.19457,49.46516,328.88,0.66,0.73,2024-05-05,2346,N,VIIRS,n,2.0NRT,272.41,3.34,N
40.19962,49.47326,334.85,0.41,0.37,2024-05-06,0928,N,VIIRS,n,2.0NRT,297.93,3.03,D
40.40803,49.91979,300.25,0.44,0.39,2024-05-08,2250,N,VIIRS,n,2.0NRT,284.75,1.28,N
40.22382,49.55498,295.32,0.44,0.38,2024-05-08,2250,N,VIIRS,n,2.0NRT,283.83,0.29,N
40.25138,49.44655,301.55,0.43,0.38,2024-05-08,2250,N,VIIRS,n,2.0NRT,284.31,0.76,N
40.19904,49.47265,296.66,0.43,0.38,2024-05-08,2250,N,VIIRS,n,2.0NRT,283.47,0.72,N
40.20075,49.46735,352.07,0.5,0.49,2024-05-09,1011,N,VIIRS,n,2.0NRT,300.53,6.57,D
39.73157,48.30257,340.78,0.44,0.46,2024-05-09,1011,N,VIIRS,n,2.0NRT,300.31,2.92,D
40.25162,49.44537,307.61,0.39,0.37,2024-05-09,2229,N,VIIRS,n,2.0NRT,285.79,0.97,N
39.24307,45.32481,295.12,0.6,0.53,2024-05-10,2212,N,VIIRS,n,2.0NRT,282.74,0.94,N
40.2505,49.44616,301.14,0.57,0.43,2024-05-10,2212,N,VIIRS,n,2.0NRT,284.27,1.32,N
40.40718,49.91647,297.77,0.54,0.42,2024-05-10,2212,N,VIIRS,n,2.0NRT,282.32,1.03,N
40.25201,49.44777,301.14,0.33,0.55,2024-05-11,2153,N,VIIRS,n,2.0NRT,284.2,1.43,N
40.25306,49.4455,304.67,0.33,0.55,2024-05-11,2153,N,VIIRS,n,2.0NRT,282.15,1.69,N
40.57881,48.72843,333.17,0.55,0.43,2024-05-12,0915,N,VIIRS,n,2.0NRT,301.12,2.65,D
40.86097,46.02186,336.02,0.49,0.48,2024-05-12,0915,N,VIIRS,n,2.0NRT,293.68,4.07,D
40.57499,48.72982,333.94,0.55,0.43,2024-05-12,0915,N,VIIRS,n,2.0NRT,302.12,2.45,D
40.57613,48.73103,334,0.55,0.43,2024-05-12,0915,N,VIIRS,n,2.0NRT,301.84,6.87,D
39.79188,47.6029,337.06,0.43,0.46,2024-05-12,0915,N,VIIRS,n,2.0NRT,298.61,2.36,D
39.79298,47.6078,339.44,0.43,0.46,2024-05-12,0915,N,VIIRS,n,2.0NRT,299.17,2.36,D
40.40533,49.91278,296.85,0.56,0.69,2024-05-12,2133,N,VIIRS,n,2.0NRT,282.26,0.93,N
40.40586,49.91201,297.47,0.56,0.69,2024-05-12,2133,N,VIIRS,n,2.0NRT,283.17,1.18,N
40.40821,49.91607,300.39,0.56,0.52,2024-05-12,2314,N,VIIRS,n,2.0NRT,285.85,1.3,N
40.61472,49.62182,303.55,0.48,0.4,2024-05-15,2218,N,VIIRS,n,2.0NRT,281.35,1.29,N
40.40632,49.91788,300.15,0.47,0.4,2024-05-15,2218,N,VIIRS,n,2.0NRT,279.17,1.84,N
41.28165,49.10424,334.49,0.39,0.36,2024-05-16,0941,N,VIIRS,l,2.0NRT,306.61,2.75,D
40.876,46.0191,335.11,0.41,0.45,2024-05-17,0922,N,VIIRS,n,2.0NRT,294.11,2.55,D
40.40732,49.91714,295.62,0.34,0.56,2024-05-17,2320,N,VIIRS,n,2.0NRT,281.21,0.77,N
40.40875,49.91754,296.53,0.34,0.56,2024-05-17,2320,N,VIIRS,n,2.0NRT,281.45,0.48,N
40.2732,49.66897,302.96,0.39,0.44,2024-05-18,2301,N,VIIRS,n,2.0NRT,281.82,0.68,N
40.27712,49.67041,300.76,0.39,0.44,2024-05-18,2301,N,VIIRS,n,2.0NRT,282.95,0.68,N
40.22321,49.55718,297.51,0.43,0.38,2024-05-20,2225,N,VIIRS,n,2.0NRT,285.67,0.64,N
40.25214,49.44643,305.04,0.43,0.38,2024-05-20,2225,N,VIIRS,n,2.0NRT,285.23,1.32,N
40.40417,49.90988,296.83,0.42,0.38,2024-05-20,2225,N,VIIRS,n,2.0NRT,286.8,0.85,N
40.22242,49.55552,301.06,0.45,0.47,2024-05-21,2205,N,VIIRS,n,2.0NRT,286.32,0.52,N
40.2496,49.44588,299.79,0.45,0.47,2024-05-21,2205,N,VIIRS,n,2.0NRT,285.42,0.83,N
40.25395,49.44666,297.48,0.45,0.47,2024-05-21,2205,N,VIIRS,n,2.0NRT,285.41,0.83,N
