latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight
40.01592,46.08824,330.1,0.65,0.73,2023-01-01,0843,N20,VIIRS,n,2.0NRT,280.51,10.15,D
40.02612,46.21029,326.64,0.64,0.72,2023-01-01,0843,N20,VIIRS,n,2.0NRT,275.58,8.91,D
40.02426,46.20484,325.23,0.49,0.49,2023-01-01,1023,N20,VIIRS,n,2.0NRT,287.43,5.69,D
40.01876,46.08131,336.84,0.48,0.48,2023-01-01,1023,N20,VIIRS,n,2.0NRT,284.68,7.32,D
40.02922,46.21049,348.77,0.49,0.49,2023-01-01,1023,N20,VIIRS,n,2.0NRT,286.99,5.69,D
40.01488,46.08861,332.7,0.48,0.48,2023-01-01,1023,N20,VIIRS,n,2.0NRT,289.47,7.32,D
39.99658,46.11661,321.85,0.4,0.37,2023-01-01,2241,N20,VIIRS,n,2.0NRT,263.9,5.14,N
39.99725,46.11192,343.63,0.4,0.37,2023-01-01,2241,N20,VIIRS,n,2.0NRT,265.52,4.5,N
39.99792,46.10723,321.87,0.4,0.37,2023-01-01,2241,N20,VIIRS,n,2.0NRT,262.65,4.5,N
39.99988,46.09346,329.52,0.4,0.37,2023-01-01,2241,N20,VIIRS,n,2.0NRT,267.83,4.95,N
39.99855,46.12693,344.21,0.4,0.37,2023-01-01,2241,N20,VIIRS,n,2.0NRT,274.16,13.04,N
39.99921,46.1223,321.54,0.4,0.37,2023-01-01,2241,N20,VIIRS,n,2.0NRT,267.07,5.14,N
40.00185,46.12788,340.88,0.4,0.37,2023-01-01,2241,N20,VIIRS,n,2.0NRT,270.25,7.42,N
40.00121,46.13241,340.7,0.4,0.37,2023-01-01,2241,N20,VIIRS,n,2.0NRT,263.88,7.42,N
40.02452,46.0783,322.24,0.4,0.37,2023-01-01,2241,N20,VIIRS,n,2.0NRT,263.9,2.53,N
40.25123,49.44795,303.22,0.39,0.36,2023-01-01,2241,N20,VIIRS,n,2.0NRT,271.26,1.03,N
40.40021,50.14927,317.38,0.4,0.37,2023-01-01,2241,N20,VIIRS,n,2.0NRT,272.5,1.38,N
39.99525,46.12595,336.69,0.4,0.37,2023-01-01,2241,N20,VIIRS,n,2.0NRT,267.45,13.04,N
39.99591,46.1213,350.95,0.4,0.37,2023-01-01,2241,N20,VIIRS,n,2.0NRT,268.96,5.14,N
40.00442,46.08676,331.93,0.44,0.39,2023-01-02,1004,N20,VIIRS,n,2.0NRT,284.46,7.81,D
39.47267,46.39245,341.55,0.45,0.39,2023-01-02,1004,N20,VIIRS,n,2.0NRT,295.53,8.7,D
39.9851,46.16629,336.87,0.45,0.39,2023-01-02,1004,N20,VIIRS,n,2.0NRT,285.53,3.67,D
39.9838,46.15543,335.61,0.45,0.39,2023-01-02,1004,N20,VIIRS,n,2.0NRT,287.98,5.85,D
39.98859,46.16523,336.6,0.45,0.39,2023-01-02,1004,N20,VIIRS,n,2.0NRT,285.89,7.39,D
39.99271,46.16948,328.13,0.45,0.39,2023-01-02,1004,N20,VIIRS,n,2.0NRT,289.76,7.39,D
39.99742,46.08853,339.58,0.44,0.39,2023-01-02,1004,N20,VIIRS,n,2.0NRT,288.94,6.07,D
