latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
39.33537,48.83345,329.93,0.4,0.6,2024-01-01,0850,N,VIIRS,n,2,285.19,6.16,D,0
39.33413,48.82891,348.99,0.4,0.6,2024-01-01,0850,N,VIIRS,n,2,285.27,5.04,D,0
39.72883,48.10118,325.67,0.37,0.58,2024-01-01,1030,N,VIIRS,n,2,286.24,1.87,D,0
39.93491,48.25352,334.54,0.38,0.59,2024-01-01,1031,N,VIIRS,n,2,286.83,1.99,D,0
40.40777,49.92025,301.35,0.44,0.38,2024-01-01,2249,N,VIIRS,n,2,276.64,0.8,N,2
41.16884,45.25414,297.17,0.39,0.36,2024-01-01,2249,N,VIIRS,n,2,274.44,0.65,N,2
40.25161,48.06025,331.62,0.42,0.45,2024-01-02,1012,N,VIIRS,n,2,286.46,2.85,D,0
39.74981,44.82104,340.6,0.39,0.36,2024-01-03,0953,N,VIIRS,n,2,284.22,4.26,D,0
40.51125,46.97208,330.21,0.39,0.36,2024-01-03,0953,N,VIIRS,n,2,282.19,3.17,D,0
40.51183,46.96859,337.42,0.39,0.36,2024-01-03,0953,N,VIIRS,n,2,282.41,4.31,D,0
40.78017,46.96993,331.59,0.4,0.37,2024-01-03,0953,N,VIIRS,n,2,287.53,3.89,D,0
40.40794,49.9185,297.43,0.55,0.43,2024-01-03,2211,N,VIIRS,n,2,278.03,1.8,N,2
40.2503,49.44765,300.07,0.38,0.44,2024-01-03,2211,N,VIIRS,n,2,277.68,0.57,N,2
40.13369,48.4976,333.76,0.4,0.37,2024-01-04,0934,N,VIIRS,n,2,286.35,3.33,D,0
39.0846,46.7903,300.5,0.46,0.63,2024-01-04,2153,N,VIIRS,n,2,280.71,0.37,N,0
40.25044,49.44907,297.53,0.46,0.63,2024-01-04,2333,N,VIIRS,n,2,278.08,1.22,N,2
39.90712,48.35283,330.05,0.34,0.56,2024-01-06,0856,N,VIIRS,n,2,286.84,2.5,D,0
39.89463,48.05377,325.08,0.35,0.57,2024-01-06,0856,N,VIIRS,n,2,286.49,1.23,D,0
40.18481,47.89755,342.54,0.35,0.57,2024-01-06,0857,N,VIIRS,n,2,287.74,1.99,D,0
40.18596,47.88157,330.76,0.36,0.57,2024-01-06,0857,N,VIIRS,n,2,287.65,1.83,D,0
40.28666,47.89956,351.73,0.35,0.57,2024-01-06,0857,N,VIIRS,n,2,289.28,4.96,D,0
40.4249,47.7653,367,0.35,0.57,2024-01-06,0857,N,VIIRS,h,2,298.73,20.46,D,0
40.42815,47.77744,339.84,0.35,0.57,2024-01-06,0857,N,VIIRS,n,2,286.98,5.2,D,0
40.42381,47.76125,341.17,0.35,0.57,2024-01-06,0857,N,VIIRS,n,2,287.37,20.46,D,0
40.43319,47.77516,353.39,0.35,0.57,2024-01-06,0857,N,VIIRS,n,2,287.37,5.2,D,0
40.41971,47.4908,356.87,0.37,0.58,2024-01-06,0857,N,VIIRS,l,2,288.97,14,D,0
40.42482,47.48849,367,0.37,0.58,2024-01-06,0857,N,VIIRS,h,2,291.56,14,D,0
40.4237,47.48429,348.26,0.37,0.58,2024-01-06,0857,N,VIIRS,n,2,288.36,14,D,0
40.42258,47.48972,367,0.37,0.58,2024-01-06,0857,N,VIIRS,h,2,291.54,21.15,D,0
40.42144,47.48555,335.2,0.37,0.58,2024-01-06,0857,N,VIIRS,n,2,291.29,21.15,D,0
40.60726,47.30882,341.05,0.37,0.58,2024-01-06,0857,N,VIIRS,n,2,286.89,3.69,D,0
40.60978,47.30795,340.97,0.37,0.58,2024-01-06,0857,N,VIIRS,n,2,286.86,3.47,D,0
39.63382,48.86089,335.84,0.49,0.65,2024-01-06,1037,N,VIIRS,n,2,287.34,3.78,D,0
39.85946,48.32503,337.47,0.47,0.64,2024-01-06,1037,N,VIIRS,n,2,286.82,2.95,D,0
39.86651,48.3529,349.62,0.47,0.64,2024-01-06,1037,N,VIIRS,n,2,287.01,10.78,D,0
39.89133,48.37428,342.07,0.47,0.64,2024-01-06,1037,N,VIIRS,n,2,287.48,6.06,D,0
39.88698,48.37097,334.8,0.47,0.64,2024-01-06,1037,N,VIIRS,n,2,287.76,2.63,D,0
39.89296,48.37064,332.62,0.47,0.64,2024-01-06,1037,N,VIIRS,n,2,286.68,2.46,D,0
39.94066,48.19983,356.6,0.46,0.63,2024-01-06,1037,N,VIIRS,n,2,288.44,5.89,D,0
39.96324,48.48704,328.33,0.48,0.64,2024-01-06,1037,N,VIIRS,n,2,286.55,4.9,D,0
39.97402,48.62018,327.33,0.48,0.65,2024-01-06,1037,N,VIIRS,n,2,286.33,1.6,D,0
39.97101,48.06599,339.61,0.45,0.63,2024-01-06,1037,N,VIIRS,n,2,287.3,7.24,D,0
39.96479,48.48472,329.23,0.48,0.64,2024-01-06,1037,N,VIIRS,n,2,287.16,3.01,D,0
40.2139,48.09572,327,0.46,0.63,2024-01-06,1037,N,VIIRS,n,2,286.63,2.31,D,0
40.34375,47.84462,336.09,0.44,0.63,2024-01-06,1037,N,VIIRS,n,2,287.5,3.98,D,0
40.33887,47.72211,344.56,0.44,0.62,2024-01-06,1037,N,VIIRS,n,2,287.16,3.84,D,0
40.34468,47.72178,357.64,0.44,0.62,2024-01-06,1037,N,VIIRS,l,2,286.81,7.68,D,0
40.41104,47.49526,367,0.42,0.61,2024-01-06,1037,N,VIIRS,h,2,297.37,25.88,D,0
40.47383,47.48095,335.33,0.42,0.61,2024-01-06,1037,N,VIIRS,n,2,287.85,3.33,D,0
40.50282,47.2005,337.25,0.41,0.61,2024-01-06,1037,N,VIIRS,n,2,288.69,1.86,D,0
41.16926,45.25285,297.23,0.38,0.36,2024-01-06,2255,N,VIIRS,n,2,273.67,0.61,N,0
41.16654,45.25478,297.03,0.38,0.36,2024-01-06,2255,N,VIIRS,n,2,273.92,0.72,N,2
40.25048,49.44681,297.11,0.48,0.4,2024-01-06,2255,N,VIIRS,n,2,275.72,0.91,N,2
39.20482,48.6872,328.03,0.54,0.5,2024-01-07,1018,N,VIIRS,n,2,291.97,3.7,D,0
39.20951,48.68664,336.48,0.54,0.5,2024-01-07,1018,N,VIIRS,n,2,289.22,3.7,D,0
39.06455,46.78603,340.92,0.42,0.46,2024-01-07,1018,N,VIIRS,n,2,292.09,7.35,D,0
39.06415,46.78893,338.42,0.43,0.46,2024-01-07,1018,N,VIIRS,n,2,291.44,5.19,D,0
40.30548,47.76331,334.18,0.49,0.49,2024-01-07,1018,N,VIIRS,n,2,287.62,2.83,D,0
40.91877,46.49662,345.09,0.43,0.46,2024-01-07,1018,N,VIIRS,n,2,287.03,4.34,D,0
40.92509,46.37581,331.62,0.43,0.46,2024-01-07,1018,N,VIIRS,n,2,285.73,3.04,D,0
39.44999,47.22722,332.46,0.43,0.38,2024-01-08,0959,N,VIIRS,n,2,286.3,2.55,D,0
40.97073,45.16023,325.73,0.39,0.36,2024-01-08,0959,N,VIIRS,n,2,289.8,1.91,D,0
38.80339,48.54622,332.29,0.39,0.36,2024-01-09,0940,N,VIIRS,l,2,304.5,33.88,D,0
38.80738,48.54979,330.98,0.39,0.36,2024-01-09,0940,N,VIIRS,n,2,293.51,40.7,D,0
38.81517,48.4695,328.44,0.39,0.36,2024-01-09,0940,N,VIIRS,n,2,291.85,4.67,D,0
39.45201,47.22709,325.38,0.4,0.37,2024-01-09,0940,N,VIIRS,n,2,290.3,2.12,D,0
39.7091,47.61395,343.34,0.39,0.36,2024-01-09,0940,N,VIIRS,n,2,291.61,3.63,D,0
40.13371,47.45997,342.26,0.39,0.36,2024-01-09,0940,N,VIIRS,n,2,290.98,10.75,D,0
40.42705,47.48798,367,0.39,0.36,2024-01-09,0940,N,VIIRS,h,2,293.03,8.22,D,0
40.65139,47.67576,327.97,0.39,0.36,2024-01-09,0940,N,VIIRS,n,2,288.13,2.09,D,0
40.64101,47.52642,330.34,0.39,0.36,2024-01-09,0940,N,VIIRS,n,2,289.63,2.05,D,0
40.40615,49.91244,307.58,0.47,0.64,2024-01-10,2140,N,VIIRS,n,2,275.71,2.01,N,0
40.4067,49.9198,311.03,0.33,0.56,2024-01-10,2320,N,VIIRS,n,2,274.8,0.84,N,2
40.24934,49.44518,296.67,0.32,0.54,2024-01-10,2320,N,VIIRS,n,2,272.64,0.68,N,2
40.25178,49.44808,295.84,0.39,0.37,2024-01-12,2243,N,VIIRS,n,2,275.58,0.57,N,2
40.25263,49.44723,298.67,0.38,0.59,2024-01-15,2327,N,VIIRS,n,2,270.7,0.63,N,2
40.84182,46.3336,337.99,0.48,0.65,2024-01-17,0851,N,VIIRS,n,2,275.89,3.38,D,0
40.66228,46.35065,327.81,0.45,0.39,2024-01-20,0934,N,VIIRS,n,2,287.49,2.55,D,0
40.25166,49.44397,308.85,0.34,0.56,2024-01-20,2153,N,VIIRS,n,2,279.75,1.32,N,2
40.25118,49.44635,311.81,0.34,0.56,2024-01-20,2153,N,VIIRS,n,2,279.88,1.59,N,2
40.22352,49.55506,301.52,0.33,0.55,2024-01-20,2153,N,VIIRS,n,2,277.99,0.69,N,2
40.25109,49.44671,297.09,0.46,0.63,2024-01-20,2333,N,VIIRS,n,2,277.45,0.79,N,2
40.48531,48.76394,329.08,0.56,0.43,2024-01-21,0915,N,VIIRS,n,2,276.66,4.66,D,0
40.25139,49.44518,296.4,0.55,0.51,2024-01-25,2159,N,VIIRS,n,2,271.37,1.22,N,2
40.40819,49.92026,313.86,0.57,0.69,2024-01-25,2339,N,VIIRS,n,2,273.64,1.3,N,2
40.49741,48.08313,325.54,0.47,0.48,2024-02-01,0909,N,VIIRS,n,2,283.26,3.28,D,0
40.49601,48.08111,328.11,0.47,0.48,2024-02-01,0909,N,VIIRS,n,2,283.02,3.22,D,0
40.40757,49.90671,299.16,0.68,0.74,2024-02-01,2127,N,VIIRS,n,2,275.63,1.91,N,0
40.40969,49.91132,299.15,0.68,0.74,2024-02-01,2127,N,VIIRS,n,2,274.9,1.89,N,2
40.40951,49.92029,296,0.47,0.47,2024-02-01,2308,N,VIIRS,n,2,275.46,2.02,N,2
40.25315,49.44795,296.16,0.45,0.47,2024-02-01,2308,N,VIIRS,n,2,273.02,0.86,N,0
40.81292,46.47575,335.13,0.63,0.54,2024-02-02,1031,N,VIIRS,n,2,285.71,4.04,D,0
40.81138,46.47473,338.28,0.63,0.54,2024-02-02,1031,N,VIIRS,n,2,284.86,4.8,D,0
40.25167,49.44826,300.79,0.43,0.38,2024-02-02,2249,N,VIIRS,n,2,273.5,0.77,N,0
40.40631,49.91797,295.09,0.39,0.36,2024-02-03,2230,N,VIIRS,n,2,274.71,0.7,N,2
39.59157,48.12563,326.31,0.41,0.37,2024-02-04,0953,N,VIIRS,n,2,287.8,1.7,D,0
39.71258,49.04554,327.24,0.44,0.38,2024-02-04,0953,N,VIIRS,n,2,287.7,3.2,D,0
39.82557,48.45766,330.14,0.42,0.38,2024-02-04,0953,N,VIIRS,n,2,290.57,3.72,D,0
39.8913,48.36293,329.54,0.42,0.38,2024-02-04,0953,N,VIIRS,n,2,289.33,2.44,D,0
39.98969,48.03138,339.43,0.41,0.37,2024-02-04,0953,N,VIIRS,n,2,286.17,4.1,D,0
40.09375,47.42869,332.72,0.4,0.37,2024-02-04,0953,N,VIIRS,n,2,289.33,2.93,D,0
40.19514,47.4318,329.85,0.4,0.37,2024-02-04,0953,N,VIIRS,n,2,288.8,4.18,D,0
40.58013,47.11229,344.87,0.4,0.37,2024-02-04,0953,N,VIIRS,n,2,289.65,2.78,D,0
40.58348,47.1115,328.28,0.4,0.37,2024-02-04,0953,N,VIIRS,n,2,287.88,2.78,D,0
40.61773,47.07616,340.63,0.4,0.37,2024-02-04,0953,N,VIIRS,n,2,289.28,4.2,D,0
40.69474,46.97723,328.33,0.4,0.37,2024-02-04,0953,N,VIIRS,n,2,288.51,3.51,D,0
40.25006,49.44401,302.34,0.38,0.43,2024-02-04,2212,N,VIIRS,n,2,273.55,1.42,N,0
39.27641,49.16014,344.07,0.39,0.36,2024-02-05,0934,N,VIIRS,n,2,287.26,4.38,D,0
39.27973,49.15923,339.31,0.39,0.36,2024-02-05,0934,N,VIIRS,n,2,286.55,4.38,D,0
39.25913,48.87019,328.09,0.4,0.37,2024-02-05,0934,N,VIIRS,n,2,286.83,2.29,D,0
39.49209,48.83298,331.67,0.4,0.37,2024-02-05,0934,N,VIIRS,n,2,283.98,3.12,D,0
39.63441,48.84257,326.47,0.4,0.37,2024-02-05,0934,N,VIIRS,n,2,283.44,2.83,D,0
39.64259,48.84985,345.89,0.4,0.37,2024-02-05,0934,N,VIIRS,n,2,286.08,7.4,D,0
39.64183,48.84528,329.15,0.4,0.37,2024-02-05,0934,N,VIIRS,n,2,286.73,4.32,D,0
39.70412,49.02494,333.29,0.39,0.36,2024-02-05,0934,N,VIIRS,n,2,282.37,3.68,D,0
39.77654,48.82489,329.87,0.4,0.37,2024-02-05,0934,N,VIIRS,n,2,283.42,2.08,D,0
39.66528,47.93211,335,0.41,0.37,2024-02-05,0934,N,VIIRS,n,2,282.16,2.09,D,0
39.81594,48.78983,329.8,0.4,0.37,2024-02-05,0934,N,VIIRS,n,2,284.6,2.06,D,0
39.90174,49.1616,343.07,0.39,0.36,2024-02-05,0934,N,VIIRS,n,2,287.5,6.64,D,0
39.79054,48.47327,330.47,0.4,0.37,2024-02-05,0934,N,VIIRS,n,2,288.14,5.46,D,0
39.79388,48.47231,326.98,0.4,0.37,2024-02-05,0934,N,VIIRS,n,2,283.85,5.46,D,0
39.85826,48.33413,325.52,0.4,0.37,2024-02-05,0934,N,VIIRS,n,2,285.71,1.69,D,0
40.04679,48.94907,330.52,0.39,0.36,2024-02-05,0934,N,VIIRS,n,2,287.86,4.08,D,0
39.92898,48.25167,332.65,0.4,0.37,2024-02-05,0934,N,VIIRS,n,2,289.76,5.39,D,0
39.99264,48.52163,334.65,0.4,0.37,2024-02-05,0934,N,VIIRS,n,2,288.77,3.52,D,0
40.1441,48.504,339.09,0.4,0.37,2024-02-05,0934,N,VIIRS,n,2,288.64,4.3,D,0
40.14332,48.49936,331,0.4,0.37,2024-02-05,0934,N,VIIRS,n,2,285.07,2.85,D,0
40.11522,48.31225,335.7,0.4,0.37,2024-02-05,0934,N,VIIRS,n,2,289.97,4.37,D,0
40.1161,48.31384,340.8,0.4,0.37,2024-02-05,0934,N,VIIRS,n,2,289.9,7.12,D,0
40.31278,48.3131,326.5,0.4,0.37,2024-02-05,0934,N,VIIRS,n,2,285.86,2.12,D,0
40.16085,47.33704,334.95,0.42,0.38,2024-02-05,0934,N,VIIRS,n,2,281.79,8.17,D,0
40.288,47.90153,346.19,0.41,0.37,2024-02-05,0934,N,VIIRS,n,2,287.12,4.9,D,0
40.18893,47.28417,344.3,0.43,0.38,2024-02-05,0934,N,VIIRS,n,2,278.77,6.25,D,0
40.35114,47.89777,327.58,0.41,0.37,2024-02-05,0934,N,VIIRS,n,2,284.11,2.77,D,0
40.25965,47.17089,333.33,0.43,0.38,2024-02-05,0934,N,VIIRS,n,2,288.16,8.83,D,0
40.36839,47.53555,331.33,0.42,0.37,2024-02-05,0934,N,VIIRS,n,2,284.32,2.17,D,0
40.37143,47.39092,326.7,0.42,0.38,2024-02-05,0934,N,VIIRS,n,2,280.86,2.41,D,0
