latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight
40.57999,48.72627,324.33,1,1,2024-07-01,0659,Terra,MODIS,69,6.1NRT,301.36,12.82,D
40.32924,49.77531,326.1,1.03,1.01,2024-07-01,0659,Terra,MODIS,61,6.1NRT,309.4,8.62,D
40.63874,48.62307,318.79,1.29,1.13,2024-07-01,1011,Aqua,MODIS,46,6.1NRT,302.98,10.87,D
39.40439,48.30852,331.99,1.41,1.17,2024-07-01,1011,Aqua,MODIS,80,6.1NRT,303.25,29.33,D
39.40732,48.32406,338.66,1.4,1.17,2024-07-01,1011,Aqua,MODIS,86,6.1NRT,303.49,45.74,D
39.3876,48.33249,332,1.59,1.24,2024-07-04,0722,Terra,MODIS,82,6.1NRT,308.27,30.07,D
39.38854,48.33915,333,1.59,1.24,2024-07-04,0722,Terra,MODIS,83,6.1NRT,307.36,33.08,D
39.54565,48.19213,329.91,1.55,1.23,2024-07-04,0722,Terra,MODIS,81,6.1NRT,305.48,31.04,D
39.54903,48.17488,328.54,1.54,1.22,2024-07-04,0722,Terra,MODIS,79,6.1NRT,306.22,27.39,D
39.64337,47.9175,327.16,1.49,1.2,2024-07-04,0722,Terra,MODIS,42,6.1NRT,302.65,19.96,D
39.60788,48.23768,322.77,1.55,1.23,2024-07-04,0722,Terra,MODIS,72,6.1NRT,303.09,16.76,D
39.25959,48.17157,333.42,1.01,1.01,2024-07-04,1034,Aqua,MODIS,73,6.1NRT,317.91,9.73,D
40.76458,46.34753,316.72,4.38,1.93,2024-07-05,0801,Terra,MODIS,56,6.1NRT,299.64,42.93,D
39.34925,47.22457,337.38,1,1,2024-07-06,0703,Terra,MODIS,81,6.1NRT,309.42,23.05,D
40.59805,46.30254,326.76,1.01,1.01,2024-07-06,0703,Terra,MODIS,74,6.1NRT,308.16,10.31,D
40.57507,48.72767,327.23,1.04,1.02,2024-07-06,0703,Terra,MODIS,63,6.1NRT,311.75,9.95,D
39.65076,47.93591,331.2,1.21,1.09,2024-07-06,1019,Aqua,MODIS,38,6.1NRT,310.93,14.9,D
39.60002,47.7635,325.9,1.23,1.1,2024-07-06,1019,Aqua,MODIS,36,6.1NRT,309.57,11.3,D
39.88432,47.38144,315.88,1,1,2024-07-06,1809,Terra,MODIS,92,6.1NRT,295.28,12.32,N
39.36325,48.16463,303.64,1.28,1.12,2024-07-08,1749,Terra,MODIS,56,6.1NRT,293.09,5.67,N
39.88005,47.3926,305.86,1.52,1.22,2024-07-09,1830,Terra,MODIS,66,6.1NRT,292.97,9.99,N
39.6415,47.89841,328.45,1.09,1.04,2024-07-11,0709,Terra,MODIS,34,6.1NRT,304.32,12.82,D
40.19699,49.4657,329.16,1,1,2024-07-11,1024,Aqua,MODIS,48,6.1NRT,309.5,9.17,D
39.46366,47.20102,344.39,1.12,1.05,2024-07-11,1024,Aqua,MODIS,89,6.1NRT,314.57,34.06,D
